iso3,country,leader_name,leader_dob,leader_age,leader_percentile,leader_ex,population_median,population_ex,age_gap,ex_gap,ofi
MNE,Montenegro,Milojko Spajić,1987-09-24,38.0,45.434,43.529,41.0,38.739,-3.0,4.79,0.03987718646043123
MNG,Mongolia,Nyam-Osoryn Uchral,1987-01-02,39.0,65.963,39.367,27.0,48.763,12.0,-9.397,0.39784195165919845
MOZ,Mozambique,Daniel Chapo,1977-01-06,49.0,90.784,27.49,17.0,53.84,32.0,-26.35,0.6887281031002003
MRT,Mauritania,Mohamed Ould Ghazouani,1956-12-04,69.0,97.87,13.669,18.0,56.966,51.0,-43.296,0.8875743649595415
MUS,Mauritius,Navin Ramgoolam,1947-07-14,79.0,97.207,11.125,39.0,42.499,40.0,-31.374,0.7676595836263189
MWI,Malawi,Peter Mutharika,1940-07-18,86.0,99.869,4.835,19.0,55.931,67.0,-51.096,0.9662859673340323
MYS,Malaysia,Anwar Ibrahim,1947-08-10,79.0,98.47,11.047,32.0,48.275,47.0,-37.228,0.8324853512224705
NAM,Namibia,Netumbo Nandi-Ndaitwah,1952-10-29,73.0,98.413,12.085,22.0,50.985,51.0,-38.901,0.8485702792540718
NER,Niger,Abdourahamane Tchiani,1964-01-01,62.0,96.452,16.558,16.0,55.178,46.0,-38.62,0.8373804631110042
NGA,Nigeria,Bola Tinubu,1952-03-29,74.0,99.003,9.444,19.0,48.714,55.0,-39.271,0.8546892040385207
NIC,Nicaragua,Daniel Ortega; Rosario Murillo,1945-11-11; 1951-06-22,77.5,98.707,10.182,27.0,51.942,50.5,-41.759,0.877063339882968
NLD,Netherlands,Rob Jetten,1987-03-25,39.0,45.593,48.234,42.0,43.356,-3.0,4.878,0.030447621691466576
NOR,Norway,Jonas Gahr Støre,1960-08-25,65.0,80.589,21.261,41.0,44.473,24.0,-23.212,0.6155724798916858
NPL,Nepal,Balen Shah,1990-04-27,36.0,65.072,39.257,26.0,48.642,10.0,-9.384,0.3949674349445365
NRU,Nauru,David Adeang,1969-11-24,56.0,92.168,18.453,21.0,45.449,35.0,-26.996,0.7010714809014366
NZL,New Zealand,Christopher Luxon,1970-07-19,56.0,71.09,29.667,38.0,48.52,18.0,-18.853,0.5316185615645864
OMN,Oman,Haitham bin Tariq,1955-10-11,70.0,98.378,15.341,30.0,52.028,40.0,-36.687,0.8267490233841626
PAK,Pakistan,Shehbaz Sharif,1951-09-23,74.0,98.489,10.717,21.0,52.724,53.0,-42.007,0.8784145208840756
PAN,Panama,José Raúl Mulino,1959-06-13,67.0,91.496,20.441,31.0,52.089,36.0,-31.648,0.7475677681655355
PER,Peru,Keiko Fujimori,1975-05-25,51.0,77.228,31.917,31.0,50.259,20.0,-18.342,0.548126502430476
PHL,Philippines,Bongbong Marcos,1957-09-13,68.0,95.725,14.194,27.0,47.773,41.0,-33.579,0.7845354012620038
PLW,Palau,Surangel Whipps Jr.,1968-08-09,58.0,78.039,20.971,39.0,37.939,19.0,-16.967,0.5345220159170246
PNG,Papua New Guinea,James Marape,1971-04-24,55.0,90.276,19.749,24.0,49.982,31.0,-30.233,0.7280904600391356
POL,Poland,Donald Tusk,1957-04-22,69.0,83.866,18.989,44.0,40.297,25.0,-21.308,0.6064028814795215
PRK,North Korea,Kim Jong Un,1983-01-08,43.0,57.072,37.408,37.0,42.011,6.0,-4.604,0.30224699833083535
PRT,Portugal,Luís Montenegro,1973-02-16,53.0,57.416,34.236,48.0,38.876,5.0,-4.64,0.30372417311325967
